Date,Production (Metric Tons)
2025-05-01,101.5
2025-05-02,103.0
2025-05-03,104.5
2025-05-04,106.0
2025-05-05,107.5
2025-05-06,109.0
2025-05-07,110.5
2025-05-08,112.0
2025-05-09,113.5
2025-05-10,115.0
2025-05-11,116.5
2025-05-12,118.0
2025-05-13,119.5
2025-05-14,121.0
2025-05-15,122.5
2025-05-16,124.0
2025-05-17,125.5
2025-05-18,127.0
2025-05-19,128.5
2025-05-20,130.0
2025-05-21,131.5
2025-05-22,133.0
2025-05-23,134.5
2025-05-24,136.0
2025-05-25,137.5
2025-05-26,139.0
2025-05-27,140.5
2025-05-28,142.0
2025-05-29,143.5
2025-05-30,145.0
