Timestamp,Department,Equipment_Type,Energy_Consumed_kWh,Shift
2024-01-01 00:00:00,Finishing,Motor,325.69539248294575,Shift A
2024-01-01 01:00:00,Utilities,Compressor,308.9790890969799,Shift B
2024-01-01 02:00:00,Pulping,Motor,317.53150496367795,Shift B
2024-01-01 03:00:00,Finishing,Pump,324.4593565073832,Shift B
2024-01-01 04:00:00,Finishing,Pump,331.7360734280885,Shift A
2024-01-01 05:00:00,Utilities,Compressor,355.4849920978112,Shift B
2024-01-01 06:00:00,Pulping,Pump,320.4909328464256,Shift A
2024-01-01 07:00:00,Pulping,Motor,287.93711726907287,Shift C
2024-01-01 08:00:00,Finishing,Pump,333.62868506013655,Shift B
2024-01-01 09:00:00,Paper Making,Motor,394.9940967447608,Shift A
2024-01-01 10:00:00,Finishing,Motor,293.3683126808713,Shift B
2024-01-01 11:00:00,Finishing,Pump,251.27353476646792,Shift C
2024-01-01 12:00:00,Finishing,Compressor,355.3540334643486,Shift A
2024-01-01 13:00:00,Finishing,Boiler,293.9809418023201,Shift A
2024-01-01 14:00:00,Utilities,Pump,191.36652269929817,Shift A
2024-01-01 15:00:00,Pulping,Motor,342.37108385752106,Shift C
2024-01-01 16:00:00,Utilities,Motor,273.23359070230384,Shift C
2024-01-01 17:00:00,Utilities,Pump,295.47333588479194,Shift C
2024-01-01 18:00:00,Utilities,Compressor,316.5990165284507,Shift A
2024-01-01 19:00:00,Finishing,Compressor,309.5249839889533,Shift C
2024-01-01 20:00:00,Paper Making,Motor,335.47259085695197,Shift B
2024-01-01 21:00:00,Pulping,Motor,278.2256814715078,Shift C
2024-01-01 22:00:00,Paper Making,Compressor,325.65528990880415,Shift A
2024-01-01 23:00:00,Utilities,Boiler,287.02266612080416,Shift B
2024-01-02 00:00:00,Utilities,Pump,336.94052404437514,Shift C
2024-01-02 01:00:00,Paper Making,Motor,330.76837420065266,Shift B
2024-01-02 02:00:00,Paper Making,Motor,253.22806489777022,Shift B
2024-01-02 03:00:00,Paper Making,Compressor,354.2991058087516,Shift A
2024-01-02 04:00:00,Utilities,Pump,273.2018277442976,Shift B
2024-01-02 05:00:00,Utilities,Compressor,340.40288991405725,Shift B
2024-01-02 06:00:00,Pulping,Pump,318.36436567006706,Shift A
2024-01-02 07:00:00,Pulping,Pump,391.9091838397561,Shift A
2024-01-02 08:00:00,Utilities,Pump,288.8267008814074,Shift A
2024-01-02 09:00:00,Paper Making,Motor,282.53416019409013,Shift B
2024-01-02 10:00:00,Paper Making,Boiler,299.0290197056134,Shift B
2024-01-02 11:00:00,Pulping,Compressor,284.8410108582862,Shift B
2024-01-02 12:00:00,Utilities,Boiler,339.9970950971025,Shift A
2024-01-02 13:00:00,Pulping,Compressor,219.1844695781706,Shift C
